2013,2014,2015,2016
1173.995409,1176.163631,1210.387,1210.387061
1173.995409,1176.163631,1210.387,1210.387061
1173.995409,1176.163631,1210.387,1210.387061
1173.995409,1176.163631,1210.387,1210.387061
1173.995409,1176.163631,1210.387,1210.387061
1173.995409,1176.163631,1210.387,1210.387061
1173.995409,1176.163631,1210.387,1210.387061
1173.995409,1176.163631,1210.387,1210.387061
1173.995409,1176.163631,1210.387,1210.387061
1173.995409,1176.163631,1210.387,1210.387061
1173.995409,1176.163631,1210.387,1210.387061
1173.995409,1176.163631,1210.387,1210.387061
1173.995409,1176.163631,1210.387,1210.387061
1169.977885,1176.138471,1209.560,1209.560292
1169.977885,1176.138471,1209.560,1209.560292
1169.977885,1176.138471,1209.560,1209.560292
1169.977885,1176.138471,1209.560,1209.560292
1169.977885,1176.138471,1209.560,1209.560292
1169.977885,1176.138471,1209.560,1209.560292
1169.977885,1176.138471,1209.560,1209.560292
1169.977885,1176.138471,1209.560,1209.560292
1169.977885,1176.138471,1209.560,1209.560292
1169.977885,1176.138471,1209.560,1209.560292
1169.977885,1176.138471,1209.560,1209.560292
1169.977885,1176.138471,1209.560,1209.560292
1169.977885,1176.138471,1209.560,1209.560292
1169.977885,1176.138471,1209.560,1209.560292
1169.977885,1176.138471,1209.560,1209.560292
1169.977885,1176.138471,1209.560,1209.560292
1169.977885,1176.138471,1209.560,1209.560292
1169.977885,1176.138471,1209.560,1209.560292
1169.977885,1176.138471,1209.560,1209.560292
1169.977885,1176.138471,1209.560,1209.560292
1169.977885,1176.138471,1209.560,1209.560292
1169.977885,1176.138471,1209.560,1209.560292
1169.977885,1176.138471,1209.560,1209.560292
1169.977885,1176.138471,1209.560,1209.560292
1169.105905,1174.968445,1205.452,1205.451913
1169.105905,1174.968445,1205.452,1205.451913
1169.105905,1174.968445,1205.452,1205.451913
1169.105905,1174.968445,1205.452,1205.451913
1169.105905,1174.968445,1205.452,1205.451913
1169.105905,1174.968445,1205.452,1205.451913
1169.105905,1174.968445,1205.452,1205.451913
1169.105905,1174.968445,1205.452,1205.451913
1169.105905,1174.968445,1205.452,1205.451913
1169.105905,1174.968445,1205.452,1205.451913
1169.105905,1174.968445,1205.452,1205.451913
1169.105905,1174.968445,1205.452,1205.451913
1169.105905,1174.968445,1205.452,1205.451913
1169.105905,1174.968445,1205.452,1205.451913
1169.105905,1174.968445,1205.452,1205.451913
1169.105905,1174.968445,1205.452,1205.451913
1169.105905,1174.968445,1205.452,1205.451913
1169.105905,1174.968445,1205.452,1205.451913
1169.105905,1174.968445,1205.452,1205.451913
1169.105905,1174.968445,1205.452,1205.451913
1169.105905,1174.968445,1205.452,1205.451913
1169.105905,1174.968445,1205.452,1205.451913
1169.105905,1174.968445,1205.452,1205.451913
1169.105905,1174.968445,1205.452,1205.451913
1167.912238,1171.48566,1205.284,1205.283542
1167.912238,1171.48566,1205.284,1205.283542
1167.912238,1171.48566,1205.284,1205.283542
1167.912238,1171.48566,1205.284,1205.283542
1167.912238,1171.48566,1205.284,1205.283542
1167.912238,1171.48566,1205.284,1205.283542
1167.912238,1171.48566,1205.284,1205.283542
1167.912238,1171.48566,1205.284,1205.283542
1167.912238,1171.48566,1205.284,1205.283542
1167.912238,1171.48566,1205.284,1205.283542
1167.912238,1171.48566,1205.284,1205.283542
1167.912238,1171.48566,1205.284,1205.283542
1167.912238,1171.48566,1205.284,1205.283542
1167.912238,1171.48566,1205.284,1205.283542
1167.912238,1171.48566,1205.284,1205.283542
1167.912238,1171.48566,1205.284,1205.283542
1167.912238,1171.48566,1205.284,1205.283542
1167.912238,1171.48566,1205.284,1205.283542
1167.912238,1171.48566,1205.284,1205.283542
1167.912238,1171.48566,1205.284,1205.283542
1167.912238,1171.48566,1205.284,1205.283542
1167.912238,1171.48566,1205.284,1205.283542
1167.912238,1171.48566,1205.284,1205.283542
1167.912238,1171.48566,1205.284,1205.283542
1165.341071,1170.692669,1203.847,1203.847456
1165.341071,1170.692669,1203.847,1203.847456
1165.341071,1170.692669,1203.847,1203.847456
1165.341071,1170.692669,1203.847,1203.847456
1165.341071,1170.692669,1203.847,1203.847456
1165.341071,1170.692669,1203.847,1203.847456
1165.341071,1170.692669,1203.847,1203.847456
1165.341071,1170.692669,1203.847,1203.847456
1165.341071,1170.692669,1203.847,1203.847456
1165.341071,1170.692669,1203.847,1203.847456
1165.341071,1170.692669,1203.847,1203.847456
1165.341071,1170.692669,1203.847,1203.847456
1165.341071,1170.692669,1203.847,1203.847456
1165.341071,1170.692669,1203.847,1203.847456
1165.341071,1170.692669,1203.847,1203.847456
1165.341071,1170.692669,1203.847,1203.847456
1165.341071,1170.692669,1203.847,1203.847456
1165.341071,1170.692669,1203.847,1203.847456
1165.341071,1170.692669,1203.847,1203.847456
1165.341071,1170.692669,1203.847,1203.847456
1165.341071,1170.692669,1203.847,1203.847456
1165.341071,1170.692669,1203.847,1203.847456
1165.341071,1170.692669,1203.847,1203.847456
1165.341071,1170.692669,1203.847,1203.847456
1163.902882,1169.048834,1200.025,1200.024757
1163.902882,1169.048834,1200.025,1200.024757
1163.902882,1169.048834,1200.025,1200.024757
1163.902882,1169.048834,1200.025,1200.024757
1163.902882,1169.048834,1200.025,1200.024757
1163.902882,1169.048834,1200.025,1200.024757
1163.902882,1169.048834,1200.025,1200.024757
1163.902882,1169.048834,1200.025,1200.024757
1163.902882,1169.048834,1200.025,1200.024757
1163.902882,1169.048834,1200.025,1200.024757
1163.902882,1169.048834,1200.025,1200.024757
1163.902882,1169.048834,1200.025,1200.024757
1163.902882,1169.048834,1200.025,1200.024757
1163.902882,1169.048834,1200.025,1200.024757
1163.902882,1169.048834,1200.025,1200.024757
1163.902882,1169.048834,1200.025,1200.024757
1163.902882,1169.048834,1200.025,1200.024757
1163.902882,1169.048834,1200.025,1200.024757
1163.902882,1169.048834,1200.025,1200.024757
1163.902882,1169.048834,1200.025,1200.024757
1163.902882,1169.048834,1200.025,1200.024757
1163.902882,1169.048834,1200.025,1200.024757
1163.902882,1169.048834,1200.025,1200.024757
1163.902882,1169.048834,1200.025,1200.024757
1162.209549,1168.851946,1199.704,1199.703967
1162.209549,1168.851946,1199.704,1199.703967
1162.209549,1168.851946,1199.704,1199.703967
1162.209549,1168.851946,1199.704,1199.703967
1162.209549,1168.851946,1199.704,1199.703967
1162.209549,1168.851946,1199.704,1199.703967
1162.209549,1168.851946,1199.704,1199.703967
1162.209549,1168.851946,1199.704,1199.703967
1162.209549,1168.851946,1199.704,1199.703967
1162.209549,1168.851946,1199.704,1199.703967
1162.209549,1168.851946,1199.704,1199.703967
1162.209549,1168.851946,1199.704,1199.703967
1162.209549,1168.851946,1199.704,1199.703967
1162.209549,1168.851946,1199.704,1199.703967
1162.209549,1168.851946,1199.704,1199.703967
1162.209549,1168.851946,1199.704,1199.703967
1162.209549,1168.851946,1199.704,1199.703967
1162.209549,1168.851946,1199.704,1199.703967
1162.209549,1168.851946,1199.704,1199.703967
1162.209549,1168.851946,1199.704,1199.703967
1162.209549,1168.851946,1199.704,1199.703967
1162.209549,1168.851946,1199.704,1199.703967
1162.209549,1168.851946,1199.704,1199.703967
1162.209549,1168.851946,1199.704,1199.703967
1162.155829,1165.909114,1197.435,1197.435239
1162.155829,1165.909114,1197.435,1197.435239
1162.155829,1165.909114,1197.435,1197.435239
1162.155829,1165.909114,1197.435,1197.435239
1162.155829,1165.909114,1197.435,1197.435239
1162.155829,1165.909114,1197.435,1197.435239
1162.155829,1165.909114,1197.435,1197.435239
1162.155829,1165.909114,1197.435,1197.435239
